Name,Obj URL,Image URL,Alt Text (Short),Alt Text (Long),Image Description
Haskell's House,https://www.nga.gov/collection/art-object-page.95419.html,"https://media.nga.gov/iiif/744963be-8367-45b0-b40f-097bc554bb88/full/!588,600/0/default.jpg","Painting of a Victorian house on a hill with a staircase, surrounded by greenery, under a clear sky.","A detailed watercolor painting depicts a Victorian-style house on a landscaped hill with a white staircase, picket fence, and green shrubbery. The house has a bay window and ornate decorations under the eaves. A utility pole on the left and a tree on the right frame the scene with another house visible in the background.","This watercolor painting captures a Victorian-style house bathed in sunlight, occupying a central position in a suburban landscape. The two-story building presents a combination of pale colors with darker trim around windows and eaves, featuring intricate architectural details common to the Victorian era. The main entrance is accessed via a white staircase ascending a grass-covered hillock, while a wooden picket fence borders the property. The artist emphasizes the house's angular structure with the use of sharp shadows and bold contrasts. The composition includes a utility pole on the left, suggesting a street view, while a sparsely leafed tree on the right side adds dimensionality. In the background, another home implies a neighborhood setting. The artist's command of light and shadow instills the scene with a sense of warmth and tranquility."
Chalice of the Abbot Suger of Saint-Denis,https://www.nga.gov/collection/art-object-page.1437.html,"https://media.nga.gov/iiif/0bcfa379-776f-4405-81b7-3f8e969ae931/full/!588,600/0/default.jpg","An ornate golden cup with handles, agate bowl, and gemstone embellishments.","A ceremonial gold cup with two scrolled handles, featuring a multicolored agate bowl with a wavy pattern. The stem and base are studded with a variety of precious stones and pearls, and the base displays relief figures amidst the rich decoration.","This exquisite piece appears to be a ceremonial cup, standing tall with a sense of regality and opulence. Two elegant handles curve outward from the top of the vessel, intricately designed with acanthus leaf patterns extending from the lip to the midpoint of the bowl. The vessel's main body is a stunning display of natural artistry with agate stone, showcasing a swirling, banded pattern of blues, browns, and whites. The gold that encompasses the lip and handles gleams with a polished finish, and the lip is further adorned with a series of evenly spaced precious stones and pearls. Descending from the bowl, the stem features a central knop, encrusted with alternating colored gems and pearls, serving as a transitional element to the elaborate base. The base itself is a piece of storytelling, where repoussé work brings to life classical figures that seem to be in solemn or celebratory poses, each framed within a bordered roundel. Between these figures, more jewels and pearls are strategically placed, contributing to the overall sense of grandeur. This artifact, possibly from a bygone era of monarchies or ecclesiastical contexts, is designed to convey wealth, status, and artisanship."
An Eastern Ruler Seated on His Throne,https://www.nga.gov/collection/art-object-page.53157.html,"https://media.nga.gov/iiif/99d8c426-f958-4c73-9249-5b0eb071878c/full/!588,600/0/default.jpg",An intricate pen and ink drawing of an ornately dressed king seated on a throne.,"A detailed pen and ink drawing depicts a regal figure seated solemnly on an ornate throne. The male figure is adorned with a crown, multiple necklaces, and draped garments rich in texture, and holds a scepter. The throne features elaborate decorations and a high backrest.","This artwork is a pen and ink drawing portraying a majestic, bearded male figure, evoking the image of a king with a solemn expression, seated on an embellished throne. His attire is elaborate, with a jeweled crown on his head and multiple layers of clothing adorned with complex patterns and various textures. His neck is encircled by strands of beads and he wears an array of pendants, while one of his hands rests on a decorative scepter. The throne's high, straight back is intricately designed with elements suggesting a sense of depth and dimension. To the king's right, a sculpted armrest is visible, with a fabric draped over it, partially falling to the floor. The drawing showcases meticulous cross-hatching and stippling that convey shadows and volume, adding to the three-dimensional illusion of the figure and the throne. Despite the age of the paper, the ink lines remain striking, suggesting the artist's skill in creating enduring artwork."
The Last of the Buffalo,https://www.nga.gov/collection/art-object-page.124525.html,"https://media.nga.gov/iiif/d5d978ed-61c4-4c14-8c5d-1c2444d76301/full/!588,600/0/default.jpg",A painting depicts a Native American riding a rearing white horse among buffalo carcasses on a vast plain with distant hunting action and mountains.,"A detailed oil painting showcases an intense hunting scene, with a central Native American figure on a rearing white horse, against a backdrop of an expansive landscape featuring buffalo, fellow hunters, and a distant mountain range under a cloudy sky.","Intricately painted, this artwork captures a moment of drama and tension set on a broad plain at dusk or dawn. In the immediate foreground, a Native American hunter commands attention, mounted on a rearing white horse while yielding a long spear. The horse's animated pose and the rider's focused expression suggest motion and urgency. Surrounding them are multiple buffalo carcasses, indicative of a recent hunt, with bones and skulls also visible, further implying the passage of time and the cycle of life and death in nature. Further in the background, numerous buffalo run from other Native American hunters seen in the mid-ground, some mounted, others on foot. The background features an extensive plain leading to a line of tranquil water and broad mountains which reach up into the sky filled with warm tones, indicative of either sunrise or sunset. Birds are flying high above, perhaps vultures attracted by the hunt's aftermath. This image, while teeming with activity and life's harsh realities, also conveys the grandeur of the natural world through the artist's use of light, perspective, and detail."
The Farm,https://www.nga.gov/collection/art-object-page.69660.html,"https://media.nga.gov/iiif/7c707158-95a0-4b7c-b6d3-db5a7567817b/full/!588,600/0/default.jpg","A painting depicting a surreal rural scene with a building, a large tree, household items, and goats in a cutaway house against a twilight sky.","A highly detailed surreal painting showcases a cream-colored building with pink plants, a large tree with circular foliage, goats inside a cutaway view of a house, and various scattered items on a landscape with checkered patterns, all set against a backdrop of buildings and mountains under a twilight sky with a crescent moon.","This detailed artwork explores the surreal juxtaposition of rural life and fantastical elements. To the left, a traditional building with a textured cream exterior and pink flowers climbing up its walls sits among pottery and a wooden cart. Dominating the scene is a large, central tree with sinuously twisting branches and perfectly circular foliage; below it is a hill with a black and white checkered pattern that transitions into the curving form of a pipe. The artwork uniquely reveals the interior of a house in a cube-shaped cutaway section; it is populated by roaming goats and tipped ladders among other displaced household objects. On the right, the painting extends into a rural landscape with more buildings and distant mountains, all under a vast twilight sky punctuated with a soft crescent moon. The image features an array of colors, mostly in subdued earthy tones complemented by a striking use of blue. The painting's flattened perspective and meticulously outlined details create a whimsical yet structured visual narrative."
The Boating Party,https://www.nga.gov/collection/art-object-page.46569.html,"https://media.nga.gov/iiif/da9ff160-755f-4f9a-a78c-75727ce61a3b/full/!588,600/0/default.jpg",,,
Street Demonstration San Francisco,https://www.nga.gov/collection/art-object-page.169312.html,"https://media.nga.gov/iiif/53722034-b827-4354-b1c8-31d6f4e015e1/full/!588,600/0/default.jpg",,,
Portrait of My Grandmother,https://www.nga.gov/collection/art-object-page.206066.html,"https://media.nga.gov/iiif/54fa40e9-4d71-4a32-9e75-77977152009c/full/!588,600/0/default.jpg","A portrait of an elderly woman seated, wearing a white blouse with a brooch and a black skirt, against a grey background.","An oil portrait of a thin, elderly woman seated and looking outward, wearing a white blouse with lace details and a black brooch, her hands gently resting on a black skirt. Her somber expression and grey hair suggest experience and age. The neutral grey backdrop highlights her presence.","The artwork is a portrait of an elderly woman with pronounced facial lines and grey hair pulled back. She wears a white blouse characterized by delicate lacework at the collar and cuffs, with a dark, noticeable brooch at the neckline. Her black skirt contrasts the blouse. Her hands are peacefully folded, and her gaze meets the observer, giving the impression of a quiet, introspective moment. The brushwork captures texture in her hair and clothing, conveying a lifelike quality. The grey background is smooth and unadorned, ensuring the viewer's focus remains on the subject."
Ground Rules (black line),https://www.nga.gov/collection/art-object-page.215454.html,"https://media.nga.gov/iiif/435ecbeb-a712-40a2-8992-9e7c1d532645/full/!588,600/0/default.jpg",A large-scale wood panel installation with black lines and colored segments.,A expansive installation composed of vertically arranged wood planks featuring an abstract network of black lines intersecting at various points and overlaid with occasional segments of color.,"The artwork is a vast assemblage that covers a substantial portion of the gallery wall, consisting of numerous wood planks aligned vertically side by side. Each plank varies subtly in color and tone, suggesting a reclaimed material aesthetic. A pattern of bold black lines runs horizontally and vertically across the wood planks, creating a visual impression akin to an abstracted circuit or map. These lines intersect and overlap in places, with some segments ending abruptly, while others continue off the edges of the installation. Scattered throughout are small dashes of color, including red, green, and blue, which punctuate the otherwise neutral wood tones. This interplay of organic textures and geometric lines creates a dynamic tension, forming an engaging visual rhythm that draws the viewer's eye across the entire piece. The installation is set against a white gallery wall, emphasizing its rich hues and detailed composition, enticing close examination."
A Young Man in Curlers at Home on West 20th Street N.Y.C.,https://www.nga.gov/collection/art-object-page.86848.html,"https://media.nga.gov/iiif/8b264184-f230-4266-9f59-eaac028ff378/full/!588,600/0/default.jpg",,,
